period,human_only,human_and_auto,auto_only,llm_judge_and_human,llm_judge_and_auto,llm_judge_only,none_reported
1950,14.285714285714285,0.0,42.857142857142854,0.0,0.0,0.0,42.857142857142854
1955,0.0,0.0,16.666666666666664,0.0,0.0,0.0,83.33333333333334
1960,0.0,0.0,50.0,0.0,0.0,0.0,50.0
1965,7.6923076923076925,15.384615384615385,30.76923076923077,0.0,0.0,0.0,46.15384615384615
1970,0.0,20.0,20.0,0.0,0.0,0.0,60.0
1975,18.181818181818183,0.0,77.27272727272727,0.0,0.0,0.0,4.545454545454546
1980,21.978021978021978,6.593406593406594,32.967032967032964,0.0,0.0,0.0,38.46153846153847
1985,12.32876712328767,9.58904109589041,34.93150684931507,0.0,0.0,0.0,43.15068493150685
1990,6.976744186046512,8.970099667774086,55.81395348837209,0.0,0.0,0.0,28.23920265780731
1995,10.564663023679417,10.92896174863388,54.09836065573771,0.0,0.0,0.0,24.408014571949
2000,7.250755287009064,22.15508559919436,54.884189325276935,0.0,0.0,0.0,15.709969788519636
2005,5.419580419580419,23.47027972027972,65.2972027972028,0.0,0.0,0.0,5.812937062937063
2010,7.552947180403165,28.88491962235264,58.33120694054605,0.0,0.0,0.0,5.230926256698138
2015,6.3552043971143934,32.32566128478186,57.81518378564068,0.0,0.0,0.0,3.503950532463071
2020,2.8139039962165997,36.072357531331285,57.744147552612915,1.0049657129344998,0.5083944194845117,0.035469378103570585,1.8207614093166231
2025,2.167369054786273,29.199277543648407,54.12402167369055,8.007224563515953,5.237808549066828,0.2408187838651415,1.0234798314268514
