paper_id,year,source,likert,ranking,categories,span,best_worst_scaling,direct_assessment,post_editing
2023.acl-long.283,2023,full_text,0,0,0,1,0,1,0
2024.emnlp-main.658,2024,full_text,0,0,0,0,0,0,0
2020.eamt-1.33,2020,full_text,0,0,0,1,0,0,1
2007.tmi-papers.27,2007,full_text,0,1,0,0,0,0,0
2020.acl-main.445,2020,full_text,0,1,0,0,0,0,0
2014.amta-wptp.6,2014,full_text,1,0,0,0,0,0,1
2024.acl-long.653,2024,full_text,0,0,0,0,0,0,1
2010.jec-1.5,2010,full_text,0,0,1,0,0,0,1
2023.emnlp-main.365,2023,full_text,0,0,0,1,0,1,0
P11-1023,2011,full_text,0,0,0,0,0,0,1
2020.emnlp-main.217,2020,full_text,0,0,0,0,0,0,1
2017.mtsummit-papers.10,2017,full_text,1,1,0,1,0,0,1
2011.eamt-1.12,2011,full_text,0,0,0,0,0,0,1
C16-1110,2016,full_text,0,0,0,0,0,0,1
2014.amta-wptp.3,2014,full_text,0,0,0,0,0,0,1
J17-2001,2017,full_text,0,1,0,0,0,0,0
2015.mtsummit-papers.11,2015,full_text,0,0,0,1,0,0,1
2023.acl-long.47,2023,full_text,0,0,0,1,0,1,0
D10-1055,2010,full_text,0,1,1,0,0,0,1
D19-1307,2019,full_text,1,0,1,0,0,0,0
2020.eamt-1.42,2020,full_text,0,0,1,0,0,0,1
W12-3123,2012,full_text,1,0,0,0,0,0,1
D16-1230,2016,full_text,1,0,0,0,0,0,0
D15-1013,2015,full_text,0,0,0,0,0,0,0
W15-4915,2015,full_text,0,0,0,0,0,0,0
2020.eamt-1.16,2020,full_text,1,0,1,1,0,0,1
P14-2074,2014,full_text,0,0,0,0,0,0,0
2015.mtsummit-papers.7,2015,full_text,0,0,0,0,0,0,1
P11-1103,2011,full_text,0,1,0,0,0,0,0
D18-1081,2018,full_text,1,0,0,0,0,0,0
D14-1026,2014,full_text,0,1,0,0,0,0,0
2023.tacl-1.39,2023,full_text,0,0,0,1,0,0,0
2023.acl-long.181,2023,full_text,0,1,0,0,0,0,0
2022.emnlp-main.787,2022,full_text,1,0,1,0,0,0,0
W11-2103,2011,full_text,1,1,0,0,0,0,1
W13-2231,2013,full_text,1,0,1,0,0,0,1
2020.sigdial-1.28,2020,full_text,1,0,0,0,0,0,0
2015.mtsummit-wptp.4,2015,full_text,0,0,0,0,0,0,1
2021.acl-long.10,2021,full_text,0,0,0,0,0,0,1
2024.naacl-long.365,2024,full_text,0,0,0,1,0,0,0
D19-1053,2019,full_text,0,0,0,0,0,1,0
2022.iwslt-1.1,2022,full_text,0,0,0,1,0,1,1
2020.acl-main.93,2020,full_text,1,0,0,0,0,0,0
2014.amta-researchers.16,2014,full_text,0,0,0,0,0,0,0
2025.emnlp-main.438,2025,full_text,0,0,0,0,0,0,0
2013.iwslt-evaluation.1,2013,full_text,0,0,0,0,0,0,1
2024.acl-short.58,2024,full_text,0,0,0,1,0,1,0
2003.mtsummit-papers.32,2003,full_text,0,0,0,0,0,0,0
2004.eamt-1.9,2004,full_text,1,0,0,0,0,0,0
W14-3302,2014,full_text,1,1,1,1,0,0,1
2009.mtsummit-papers.20,2009,full_text,0,0,0,0,0,0,0
2005.iwslt-1.26,2005,full_text,0,0,0,0,0,0,0
I17-1038,2017,full_text,1,0,1,1,0,0,1
J18-3002,2018,full_text,0,1,0,0,0,0,1
2022.naacl-main.35,2022,full_text,1,1,0,0,0,0,1
2022.emnlp-main.37,2022,full_text,1,0,0,0,0,0,0
2023.acl-long.719,2023,full_text,0,0,1,0,0,0,0
2022.naacl-main.24,2022,full_text,0,0,0,0,0,0,0
2023.eacl-main.168,2023,full_text,0,0,0,0,0,0,0
2021.findings-acl.330,2021,full_text,0,0,0,0,0,0,1
P07-1040,2007,full_text,0,0,0,0,0,0,1
D18-1429,2018,full_text,0,0,0,0,0,0,0
2025.acl-short.63,2025,full_text,0,0,0,1,0,1,0
2020.inlg-1.35,2020,full_text,1,0,1,0,0,0,0
2022.eamt-1.9,2022,full_text,0,0,0,1,0,1,0
2016.iwslt-1.1,2016,full_text,0,0,0,0,0,0,1
2025.ijcnlp-long.38,2025,full_text,0,0,0,1,0,0,1
J14-2005,2014,full_text,0,1,0,0,0,0,0
2023.acl-long.905,2023,full_text,1,1,0,0,0,1,0
W14-0308,2014,full_text,0,0,1,1,0,0,1
2023.acl-long.866,2023,full_text,0,0,1,0,0,0,0
2021.acl-long.533,2021,full_text,0,1,0,0,0,1,1
2023.acl-long.870,2023,full_text,1,1,0,0,0,0,0
P18-1083,2018,full_text,0,1,0,0,0,0,0
2020.coling-main.420,2020,full_text,0,1,0,0,0,1,0
2011.mtsummit-papers.59,2011,full_text,0,1,0,0,0,0,1
D09-1006,2009,full_text,0,0,0,0,0,0,1
2023.eacl-main.24,2023,full_text,0,1,0,0,0,0,0
2003.mtsummit-papers.1,2003,full_text,0,0,0,0,0,0,0
2023.cl-3.2,2023,full_text,1,1,0,0,0,0,0
W12-2606,2012,full_text,1,0,1,0,0,0,0
2022.emnlp-main.511,2022,full_text,1,0,0,0,0,0,1
2020.acl-srw.27,2020,full_text,1,0,0,0,0,0,0
2025.naacl-long.255,2025,full_text,0,0,0,1,0,1,1
2007.mtsummit-papers.31,2007,full_text,1,1,0,0,0,0,0
2020.acl-main.450,2020,full_text,0,0,0,0,0,0,0
D09-1030,2009,full_text,0,1,0,0,0,0,1
2025.naacl-long.457,2025,full_text,1,0,0,0,0,0,0
2024.naacl-long.430,2024,full_text,1,0,0,0,0,0,0
2022.findings-acl.122,2022,full_text,0,1,0,0,0,0,0
2025.naacl-long.138,2025,full_text,1,0,0,0,0,0,0
2024.acl-long.790,2024,full_text,1,1,0,0,0,0,0
W12-3129,2012,full_text,0,0,0,0,0,0,1
2022.humeval-1.1,2022,full_text,0,0,0,0,0,1,1
2014.amta-wptp.5,2014,full_text,1,0,0,0,0,0,1
2025.acl-long.879,2025,full_text,0,1,0,0,0,0,0
C08-1019,2008,full_text,0,0,0,0,0,0,0
D19-5817,2019,full_text,0,0,0,0,0,0,0
2022.emnlp-main.45,2022,full_text,1,1,0,0,0,0,0
2023.emnlp-main.984,2023,full_text,0,1,0,0,0,0,0
2021.emnlp-main.123,2021,full_text,1,0,0,0,0,0,0
N03-1020,2003,full_text,0,1,0,0,0,0,0
2024.acl-long.691,2024,full_text,1,0,0,0,0,0,0
2021.eacl-main.202,2021,full_text,1,0,0,0,0,0,0
W05-0905,2005,full_text,1,0,0,0,0,0,0
2021.acl-long.537,2021,full_text,1,1,1,0,0,0,0
2020.lrec-1.826,2020,full_text,1,1,0,0,0,0,0
C16-1241,2016,full_text,0,0,0,0,0,0,1
2025.emnlp-main.796,2025,full_text,1,1,1,0,0,0,0
2020.wmt-1.100,2020,full_text,0,0,0,0,0,1,1
2022.emnlp-main.591,2022,full_text,0,0,0,1,0,1,0
2024.naacl-long.478,2024,full_text,1,1,0,0,0,0,0
2020.inlg-1.18,2020,full_text,0,0,1,0,0,0,0
O06-4006,2006,full_text,1,1,0,0,0,0,0
2021.ranlp-1.98,2021,full_text,0,0,0,0,0,0,0
P08-2051,2008,full_text,0,0,1,0,0,0,0
J11-1001,2011,full_text,0,0,0,0,0,0,0
2022.humeval-1.8,2022,full_text,1,1,0,0,0,0,0
2024.tacl-1.13,2024,full_text,0,1,1,1,0,0,0
W19-8705,2019,full_text,0,0,0,1,0,0,1
2023.acl-long.33,2023,full_text,1,0,1,0,0,0,0
2021.acl-long.175,2021,full_text,1,0,1,0,0,0,0
D19-1623,2019,full_text,0,0,0,0,0,0,0
P19-1470,2019,full_text,0,0,0,0,0,0,0
J17-4001,2017,full_text,0,1,0,0,0,0,1
N19-1314,2019,full_text,1,0,0,0,0,0,0
2022.acl-long.445,2022,full_text,1,0,0,0,0,0,0
N19-3009,2019,full_text,0,1,0,0,0,0,0
