year,n_llm,pct_also_human,pct_auto_only
2022,3.0,0.0,100.0
2023,19.0,68.42105263157895,31.57894736842105
2024,109.0,66.05504587155964,31.19266055045872
2025,224.0,59.375,38.839285714285715
