year,n_he,total,rate
2018,550,1403,0.3920171062009979
2019,560,1629,0.3437691835481891
2020,851,2153,0.39526242452392013
2021,855,2207,0.38740371545083824
2022,606,1557,0.3892100192678227
2023,488,1170,0.4170940170940171
2024,574,1371,0.41867250182348653
2025,654,1661,0.3937387116195063
