year,sum,count,rate
2018,29,46,0.6304347826086957
2019,30,55,0.5454545454545454
2020,17,34,0.5
2021,14,26,0.5384615384615384
2022,10,15,0.6666666666666666
2023,14,27,0.5185185185185185
2024,24,35,0.6857142857142857
2025,16,31,0.5161290322580645
