year,main_conf_rate,main_conf_n,all_rate,all_n
2018,0.411214953271028,642,0.3920171062009979,1403
2019,0.31316042267050914,1041,0.3437691835481891,1629
2020,0.37203495630461925,801,0.39526242452392013,2153
2021,0.3816,1250,0.38740371545083824,2207
2022,0.386801099908341,1091,0.3892100192678227,1557
2023,0.4170940170940171,1170,0.4170940170940171,1170
2024,0.41867250182348653,1371,0.41867250182348653,1371
2025,0.3937387116195063,1661,0.3937387116195063,1661
